city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
sibu,2.3,111.82,71.6,94,40,6.93,MY,1600299721
sechura,-5.56,-80.82,64.53,77,6,14.72,PE,1600299721
umzimvubu,,,,,,,,
toliary,,,,,,,,
peniche,39.36,-9.38,66.99,87,72,4.29,PT,1600299722
raudeberg,61.99,5.14,46.4,81,49,8.05,NO,1600299722
georgetown,5.41,100.34,78.8,94,20,2.24,MY,1600299723
los llanos de aridane,28.66,-17.92,75.2,83,95,12.75,ES,1600299723
kamenskoye,,,,,,,,
liverpool,53.41,-2.98,59,87,75,4.7,GB,1600299428
oktyabrskiy,54.48,53.47,49.03,80,100,15.59,RU,1600299723
saint george,37.1,-113.58,100,7,1,4.7,US,1600299724
porto walter,-8.27,-72.74,80.46,61,28,2.26,BR,1600299724
norman wells,65.28,-126.83,50,57,75,5.82,CA,1600299724
terrace,54.52,-128.6,69.8,52,20,3.36,CA,1600299725
karasjok,69.47,25.51,41,93,52,14.99,NO,1600299725
qinhuangdao,39.93,119.59,64.65,47,0,12.3,CN,1600299725
ust-kishert,57.37,57.25,48.65,91,100,18.84,RU,1600299726
cusuna,15.85,-85.23,81.46,86,18,8.86,HN,1600299726
necochea,-38.55,-58.74,43,95,0,1.99,AR,1600299726
saint anthony,45.02,-93.22,66.99,45,1,10.29,US,1600299728
acapulco,16.86,-99.89,82.4,83,90,4.7,MX,1600299474
asfi,32.3,-9.24,77.34,55,100,3.49,MA,1600299728
agogo,6.8,-1.08,69.28,100,95,5.95,GH,1600299728
kuala terengganu,5.33,103.14,78.8,94,20,4.43,MY,1600299729
ust-nera,64.57,143.2,43.52,62,88,2.33,RU,1600299729
chino valley,34.76,-112.45,93,7,1,5.82,US,1600299729
ulladulla,-35.35,150.47,75.2,38,64,10.29,AU,1600299611
desterro,-7.29,-37.09,68.41,79,5,18.45,BR,1600299730
ranong,9.97,98.63,80.11,82,100,12.03,TH,1600299730
masunga,-20.62,27.45,68.32,27,56,2.39,BW,1600299730
nizhniy kuranakh,58.84,125.49,46.63,74,41,1.66,RU,1600299730
chapais,49.78,-74.85,46.4,100,90,6.93,CA,1600299731
bafoulabe,13.81,-10.83,78.15,94,67,7.43,ML,1600299731
okhotsk,59.38,143.3,52.47,60,0,17.74,RU,1600299731
burnie,-41.07,145.92,51.01,55,100,15.99,AU,1600299732
batagay-alyta,67.8,130.41,44.6,60,91,1.97,RU,1600299732
junagarh,19.87,82.93,77.16,87,85,2.35,IN,1600299732
lincoln,40.8,-96.67,73.99,54,41,1.01,US,1600299578
novoagansk,61.94,76.66,45.77,93,100,10.58,RU,1600299732
novo aripuana,-5.12,-60.38,83.37,51,22,1.92,BR,1600299733
mugur-aksy,50.35,90.5,41.38,65,80,3,RU,1600299733
ginda,30.69,78.49,61.25,82,16,3.15,IN,1600299734
pevek,69.7,170.31,37.51,92,79,12.77,RU,1600299734
porto novo,6.5,2.6,78.8,88,40,10.29,BJ,1600299734
morondava,-20.28,44.28,76.71,76,52,9.53,MG,1600299735
esfarayen,37.08,57.51,51.8,57,0,2.19,IR,1600299735
brae,60.4,-1.35,48.2,81,40,5.82,GB,1600299735
zamora,-4.07,-78.96,69.48,70,97,2.42,EC,1600299735
segovia,41.17,-4,68,76,89,1.01,ES,1600299735
roebourne,-20.78,117.13,84.42,24,15,7.36,AU,1600299736
mwinilunga,-11.74,24.43,62.33,84,60,1.41,ZM,1600299736
machico,32.7,-16.77,69.8,64,40,5.82,PT,1600299736
samarinda,-0.5,117.15,79.86,79,96,2.44,ID,1600299737
amderma,,,,,,,,
banmo,,,,,,,,
bonfim,3.08,-59.95,80.02,68,100,5.35,BR,1600299737
scalloway,,,,,,,,
omsukchan,62.53,155.8,40.62,70,95,7.96,RU,1600299737
cagayan de tawi-tawi,,,,,,,,
dalby,-27.18,151.27,68,68,0,6.93,AU,1600299738
caravelas,-17.71,-39.25,69.82,78,9,5.61,BR,1600299738
leningradskiy,69.38,178.42,36.77,92,100,15.68,RU,1600299739
vestmanna,62.16,-7.17,50,81,100,16.11,FO,1600299739
sibolga,1.74,98.78,77.67,82,94,2.28,ID,1600299739
samarai,-10.62,150.67,79.92,85,82,14.58,PG,1600299739
haines junction,60.75,-137.51,55.06,40,84,0.58,CA,1600299740
shimanovsk,52,127.7,55.17,97,100,7.27,RU,1600299740
ostrovnoy,68.05,39.51,40.59,77,100,4.14,RU,1600299741
kangaatsiaq,68.31,-53.46,38.73,80,100,21.27,GL,1600299741
cabo rojo,18.09,-67.15,84.99,83,61,5.44,PR,1600299741
timizart,36.8,4.27,72.54,52,11,6.4,DZ,1600299741
ngunguru,-35.62,174.5,62.26,64,1,4.25,NZ,1600299742
tucurui,-3.77,-49.67,82.33,45,16,2.01,BR,1600299742
sorland,67.67,12.69,47.7,66,86,9.13,NO,1600299742
cap malheureux,-19.98,57.61,64.99,78,84,1.99,MU,1600299743
palmer,42.16,-72.33,66.2,59,75,8.05,US,1600299743
carupano,10.67,-63.26,80.56,83,57,5.82,VE,1600299743
ipixuna,-1.76,-48.8,84.2,74,10,11.41,BR,1600299744
tual,-5.67,132.75,80.02,81,94,16.73,ID,1600299744
boende,-0.22,20.87,73.8,85,1,2.91,CD,1600299744
